test_case_id,step_number,endpoint,method,test_data_row,reason,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,1,"All fields are present and valid: enums match allowed values, integers are parseable and reasonable, booleans are valid, and arrays contain valid integers.","{""SearchTerm"": ""education"", ""Session"": 2023, ""CurrentHouse"": ""Commons"", ""OriginatingHouse"": ""Lords"", ""MemberId"": 101, ""DepartmentId"": 5, ""BillStage"": [1, 2, 3], ""BillStagesExcluded"": [4, 5], ""IsDefeated"": false, ""IsWithdrawn"": true, ""BillType"": [10, 20], ""SortOrder"": ""TitleAscending"", ""BillIds"": [1001, 1002], ""IsInAmendableStage"": true, ""Skip"": 0, ""Take"": 50}",{},https://bills-api.parliament.uk/api/v1/Bills?SearchTerm=education&Session=2023&CurrentHouse=Commons&OriginatingHouse=Lords&MemberId=101&DepartmentId=5&BillStage=1&BillStage=2&BillStage=3&BillStagesExcluded=4&BillStagesExcluded=5&IsDefeated=False&IsWithdrawn=True&BillType=10&BillType=20&SortOrder=TitleAscending&BillIds=1001&BillIds=1002&IsInAmendableStage=True&Skip=0&Take=50,200,2xx,1.627s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,2,OriginatingHouse and SortOrder are valid enum values; Skip and Take are valid integers.,"{""OriginatingHouse"": ""All"", ""SortOrder"": ""TitleDescending"", ""Skip"": 10, ""Take"": 25}",{},https://bills-api.parliament.uk/api/v1/Bills?OriginatingHouse=All&SortOrder=TitleDescending&Skip=10&Take=25,200,2xx,1.126s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,3,,{},{},https://bills-api.parliament.uk/api/v1/Bills,200,2xx,0.713s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,4,,"{""BillStagesExcluded"": [4, 5]}",{},https://bills-api.parliament.uk/api/v1/Bills?BillStagesExcluded=4&BillStagesExcluded=5,200,2xx,1.691s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,5,,"{""SearchTerm"": ""education"", ""Skip"": 0}",{},https://bills-api.parliament.uk/api/v1/Bills?SearchTerm=education&Skip=0,200,2xx,0.957s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,6,,"{""SearchTerm"": ""education"", ""DepartmentId"": 5, ""BillStagesExcluded"": [4, 5]}",{},https://bills-api.parliament.uk/api/v1/Bills?SearchTerm=education&DepartmentId=5&BillStagesExcluded=4&BillStagesExcluded=5,200,2xx,1.203s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,7,,"{""OriginatingHouse"": ""Lords"", ""MemberId"": 101, ""BillStagesExcluded"": [4, 5], ""Skip"": 0}",{},https://bills-api.parliament.uk/api/v1/Bills?OriginatingHouse=Lords&MemberId=101&BillStagesExcluded=4&BillStagesExcluded=5&Skip=0,200,2xx,8.926s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,8,,"{""CurrentHouse"": ""Commons"", ""IsWithdrawn"": true, ""SortOrder"": ""TitleAscending"", ""IsInAmendableStage"": true, ""Skip"": 0}",{},https://bills-api.parliament.uk/api/v1/Bills?CurrentHouse=Commons&IsWithdrawn=True&SortOrder=TitleAscending&IsInAmendableStage=True&Skip=0,200,2xx,1.661s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,9,,"{""SearchTerm"": ""education"", ""OriginatingHouse"": ""Lords"", ""BillStage"": [1, 2, 3], ""IsDefeated"": false, ""IsWithdrawn"": true, ""IsInAmendableStage"": true}",{},https://bills-api.parliament.uk/api/v1/Bills?SearchTerm=education&OriginatingHouse=Lords&BillStage=1&BillStage=2&BillStage=3&IsDefeated=False&IsWithdrawn=True&IsInAmendableStage=True,200,2xx,0.990s,PASS
_api_v1_Bills_GetBills_0_1,1,get-/api/v1/Bills,GET,10,"All fields are present and valid: enums match allowed values, integers are parseable and reasonable, booleans are valid, and arrays contain valid integers.","{""DepartmentId"": 5, ""BillStage"": [1, 2, 3], ""IsDefeated"": false, ""IsWithdrawn"": true, ""SortOrder"": ""TitleAscending"", ""IsInAmendableStage"": true}",{},https://bills-api.parliament.uk/api/v1/Bills?DepartmentId=5&BillStage=1&BillStage=2&BillStage=3&IsDefeated=False&IsWithdrawn=True&SortOrder=TitleAscending&IsInAmendableStage=True,200,2xx,1.155s,PASS
